1,B-51,2
2,A-18,3
3,B-09,1
4,B-06,1
5,A-44,1
6,B-06,1
7,B-03,1
8,C-32,1
9,B-36,3
10,C-04,1
11,A-07,4
12,B-87,3
13,C-32,1
14,A-27,2
15,C-44,1
16,A-12,4
17,B-54,1
18,A-07,2
19,B-33,2
20,B-78,1
21,C-100,1
22,A-42,1
23,C-04,1
24,A-12,1
25,B-24,1
26,A-26,3
27,C-104,1
28,A-14,4
29,B-12,1
30,A-25,1
31,A-54,2
32,C-04,1
33,B-75,1
34,B-90,1
35,A-46,2
36,B-06,1
37,C-76,1
38,B-78,1
39,C-84,4
40,A-58,1
41,A-22,1
42,C-88,1
43,B-18,1
44,C-120,1
45,B-69,1
46,A-58,1
47,A-11,2
48,B-27,1
49,A-24,1
50,C-24,2
51,B-09,2
52,C-88,2
53,A-06,1
54,B-69,1
55,A-34,2
56,C-88,1
57,A-21,1
58,A-16,1
59,A-02,1
60,C-20,1
61,B-06,2
62,A-28,2
63,A-12,2
64,A-56,3
65,A-12,1
66,A-02,2
67,A-44,1
68,A-44,1
69,C-16,1
70,B-48,1
71,C-112,1
72,B-87,1
73,A-15,2
74,B-87,1
75,A-24,1
76,A-26,2
77,A-16,1
78,A-26,1
79,C-108,1
80,C-88,1
81,C-28,4
82,B-54,1
83,B-21,1
84,B-54,1
85,A-22,1
86,A-24,2
87,B-48,2
88,A-28,1
89,B-66,1
90,B-45,1
91,C-04,1
92,A-34,2
93,C-64,1
94,B-66,4
95,A-09,1
96,A-06,3
97,A-21,1
98,B-57,3
99,A-03,1
100,B-54,1
101,A-16,1
102,C-52,3
103,A-08,1
104,A-06,1
105,B-12,1
106,B-48,1
107,C-24,1
108,A-11,4
109,C-16,1
110,B-03,1
111,C-92,1
112,A-22,1
113,A-26,4
114,A-07,1
115,C-12,1
116,A-16,1
117,C-08,1
118,C-112,3
119,A-58,3
120,C-44,1
121,A-44,1
122,C-04,1
123,A-32,3
124,C-76,2
125,C-112,4
126,A-56,1
127,B-51,1
128,C-104,2
129,B-57,1
130,B-24,1
131,B-36,1
132,B-27,1
133,C-92,1
134,C-36,1
135,C-68,1
136,C-92,2
137,C-28,1
138,A-52,1
139,A-04,1
140,A-18,1
141,A-44,1
142,C-96,1
143,C-52,1
144,B-51,3
145,B-21,4
146,A-42,4
147,A-07,2
148,C-28,1
149,A-04,4
150,C-36,1
151,B-78,1
152,A-02,2
153,B-48,1
154,C-88,1
155,B-45,1
156,A-22,4
157,C-36,2
158,A-26,3
159,A-42,1
160,A-14,1
161,C-48,2
162,A-18,1
163,A-21,2
164,B-66,1
165,A-23,1
166,A-30,1
167,B-06,1
168,A-14,4
169,A-19,3
170,A-02,1
171,A-22,2
172,B-48,1
173,A-22,1
174,A-06,1
175,A-04,1
176,A-29,1
177,C-92,1
178,A-19,1
179,A-21,2
180,A-44,1
181,C-88,3
182,C-88,1
183,C-68,1
184,A-06,1
185,A-02,1
186,A-14,1
187,A-23,1
188,A-42,1
189,B-63,1
190,A-18,1
191,A-21,2
192,B-12,2
193,B-57,1
194,A-21,1
195,B-54,2
196,B-48,1
197,B-78,1
198,B-66,3
199,A-22,3
200,A-13,4
201,C-12,1
202,A-01,1
203,A-13,1
204,A-42,3
205,C-104,1
206,B-24,2
207,C-76,1
208,A-32,2
209,C-16,2
210,C-48,1
211,A-01,2
212,B-36,2
213,B-90,1
214,C-108,1
215,A-21,3
216,B-21,4
217,A-28,2
218,B-12,2
219,A-13,1
220,C-04,2
221,A-17,1
222,C-12,1
223,C-24,1
224,C-88,1
225,A-10,1
226,A-34,1
227,A-12,2
228,A-26,1
229,C-04,1
230,A-48,1
231,B-87,1
232,A-13,1
233,A-18,1
234,B-06,1
235,A-11,1
236,A-02,1
237,C-68,1
238,C-28,2
239,C-120,1
240,A-22,2
241,A-12,4
242,C-44,4
243,A-26,1
244,A-04,1
245,A-11,1
246,C-112,1
247,A-08,3
248,C-84,1
249,A-26,1
250,A-02,1
251,A-26,1
252,B-33,1
253,B-18,4
254,C-108,1
255,C-84,3
256,A-04,1
257,B-54,1
258,A-21,2
259,B-87,2
260,B-69,1
261,A-26,2
262,C-104,2
263,C-36,1
264,A-14,1
265,A-56,1
266,A-48,1
267,B-66,2
268,A-24,2
269,A-50,2
270,A-58,1
271,A-36,1
272,B-90,2
