1,1,AAA社,sales@aaa.co.jp,3214522,栃木県,真岡市xx-xx
1,2,AAB社,sales@aab.co.jp,3760111,群馬県,みどり市xx-xx
1,3,AAC社,sales@aac.co.jp,3010013,茨城県,龍ケ崎市xx-xx
1,4,AAD社,sales@aad.co.jp,3214515,栃木県,真岡市xx-xx
1,5,AAE社,sales@aae.co.jp,3600235,埼玉県,熊谷市xx-xx
1,6,AAF社,sales@aaf.co.jp,2700216,千葉県,野田市xx-xx
1,7,AAG社,sales@aag.co.jp,2930011,千葉県,富津市xx-xx
1,8,AAH社,sales@aah.co.jp,2920827,千葉県,木更津市xx-xx
1,9,AAI社,sales@aai.co.jp,3212336,栃木県,日光市xx-xx
1,10,AAJ社,sales@aaj.co.jp,1350048,東京都,江東区xx-xx
1,11,ABA社,sales@aba.co.jp,3290402,栃木県,下野市xx-xx
1,12,ABB社,sales@abb.co.jp,2892703,千葉県,旭市xx-xx
1,13,ABC社,sales@abc.co.jp,3670063,埼玉県,本庄市xx-xx
1,14,ABD社,sales@abd.co.jp,3292703,栃木県,那須塩原市xx-xx
1,15,ABE社,sales@abe.co.jp,3200049,栃木県,宇都宮市xx-xx
1,16,ABF社,sales@abf.co.jp,2410813,神奈川県,横浜市旭区xx-xx
1,17,ABG社,sales@abg.co.jp,3410001,埼玉県,三郷市xx-xx
1,18,ABH社,sales@abh.co.jp,3140121,茨城県,神栖市xx-xx
1,19,ABI社,sales@abi.co.jp,1240014,東京都,葛飾区xx-xx
1,20,ABJ社,sales@abj.co.jp,3292122,栃木県,矢板市xx-xx
1,21,ACA社,sales@aca.co.jp,3630013,埼玉県,桶川市xx-xx
1,22,ACB社,sales@acb.co.jp,3491153,埼玉県,加須市xx-xx
1,23,ACC社,sales@acc.co.jp,3040043,茨城県,下妻市xx-xx
1,24,ACD社,sales@acd.co.jp,2880857,千葉県,銚子市xx-xx
1,25,ACE社,sales@ace.co.jp,3320004,埼玉県,川口市xx-xx
1,26,ACF社,sales@acf.co.jp,3720853,群馬県,伊勢崎市xx-xx
1,27,ACG社,sales@acg.co.jp,3400204,埼玉県,久喜市xx-xx
1,28,ACH社,sales@ach.co.jp,3004113,茨城県,土浦市xx-xx
1,29,ACI社,sales@aci.co.jp,2891504,千葉県,山武市xx-xx
1,30,ACJ社,sales@acj.co.jp,3740024,群馬県,館林市xx-xx
1,31,ADA社,sales@ada.co.jp,3140116,茨城県,神栖市xx-xx
1,32,ADB社,sales@adb.co.jp,2700143,千葉県,流山市xx-xx
1,33,ADC社,sales@adc.co.jp,3710104,群馬県,前橋市xx-xx
1,34,ADD社,sales@add.co.jp,3240066,栃木県,大田原市xx-xx
1,35,ADE社,sales@ade.co.jp,3192263,茨城県,常陸大宮市xx-xx
1,36,ADF社,sales@adf.co.jp,1540023,東京都,世田谷区xx-xx
1,37,ADG社,sales@adg.co.jp,2960013,千葉県,鴨川市xx-xx
1,38,ADH社,sales@adh.co.jp,2380054,神奈川県,横須賀市xx-xx
1,39,ADI社,sales@adi.co.jp,2390820,神奈川県,横須賀市xx-xx
